,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
450,451,Bolshoi Ballet: La Sylphide (2018),Fathom,"November 11, 2018",Unknown,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$171,177",355,"$168,718",355,11/11,11/15
451,452,The House That Jack Built (Director's Cut),IFC,"November 28, 2018",Drama / Thriller,2 hrs. 32 min.,Unrated,N/A,no dist,IFC,"$170,113",140,N/A,N/A,11/28,11/29
452,453,Luis & the Aliens,Viva Pictures Distribution,"August 17, 2018",Animation,1 hrs. 26 min.,PG,N/A,n/a,VPD,"$169,710",20,N/A,N/A,8/17,-
453,454,Bolshoi Ballet 2017/2018: The Lady of Camellias,Fathom,"February 4, 2018",Unknown,3 hrs. 5 min.,Unrated,N/A,no dist,Fathom,"$167,991",358,"$167,991",358,2/4,2/4
454,455,Rampant,Well Go USA,"October 26, 2018",Action Horror,2 hrs. 7 min.,Unrated,N/A,no dist,WGUSA,"$167,937",29,"$18,326",2,10/26,11/22
455,456,Double Lover,Cohen Media Group,"February 14, 2018",Drama,1 hrs. 47 min.,Not Yet Rated,N/A,n/a,Cohen,"$167,581",51,"$62,995",50,2/14,4/19
456,457,Is Genesis History? (2018 re-release),Fathom,"February 22, 2018",Documentary,1 hrs. 40 min.,Unrated,N/A,no dist,Fathom,"$166,763",842,N/A,N/A,2/22,2/22
457,458,Boom for Real: The Late Teenage Years of Jean-Michel Basquiat,Magnolia,"May 11, 2018",Documentary,1 hrs. 18 min.,Unrated,N/A,no dist,Magn.,"$166,616",14,"$22,717",2,5/11,7/26
458,459,Heading Home: The Tale of Team Israel,Menemsha,"December 14, 2018",Documentary,1 hrs. 27 min.,Unrated,N/A,no dist,Men.,"$166,117",7,"$12,678",1,12/14,-
459,460,Far from the Tree,IFC,"July 20, 2018",Documentary,1 hrs. 33 min.,Unrated,N/A,no dist,IFC,"$166,018",22,"$19,885",2,7/20,9/20
460,461,Journey's End,Good Deed,"March 16, 2018",War Drama,1 hrs. 47 min.,R,N/A,no dist,Good Deed,"$161,796",185,"$11,798",2,3/16,-
461,462,The Samuel Project,in8 Releasing,"September 28, 2018",Drama,1 hrs. 32 min.,PG-13,N/A,no dist,in8,"$161,565",2,"$11,087",2,9/28,-
462,463,NT LIVE: The Curious Incident of the Dog in the Night-Time (2018 Encore),Fathom,"June 12, 2018",Unknown,2 hrs. 50 min.,Unrated,N/A,no dist,Fathom,"$160,381",483,N/A,N/A,6/12,6/12
463,464,Silencio,Tulip Pictures,"October 26, 2018",Drama / Thriller,1 hrs. 38 min.,R,N/A,no dist,Tulip,"$158,723",348,"$90,480",348,10/26,11/18
464,465,The Last Resort,Kino Lorber,"December 21, 2018",Documentary,1 hrs. 10 min.,Unrated,N/A,no dist,KL,"$158,646",13,"$1,844",1,12/21,5/9
465,466,Buttons: A New Musical Film,Fathom,"December 8, 2018",Musical,1 hrs. 55 min.,Unrated,N/A,no dist,Fathom,"$151,983",543,N/A,543,12/8,12/10
466,467,Eating Animals,IFC,"June 15, 2018",Documentary,1 hrs. 34 min.,Unrated,N/A,no dist,IFC,"$149,614",25,"$34,524",2,6/15,7/24
467,468,Ghost Stories,IFC,"April 20, 2018",Horror,1 hrs. 38 min.,Unrated,N/A,n/a,IFC,"$148,747",24,"$11,972",1,4/20,5/24
468,469,Bad Reputation,Magnolia,"September 28, 2018",Documentary,1 hrs. 34 min.,R,N/A,no dist,Magn.,"$148,568",196,"$130,675",196,9/28,10/18
469,470,Museo,Vitagraph,"September 14, 2018",Crime Drama,2 hrs. 8 min.,Unrated,N/A,n/a,Vita.,"$148,505",12,"$16,554",1,9/14,11/4
470,471,Harry Potter & the Deathly Hallows - Part 1 (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 30 min.,PG-13,N/A,no dist,WB,"$148,263",N/A,N/A,N/A,9/2,-
471,472,Night of the Living Dead (50th Anniversary),Fathom,"October 24, 2018",Horror,1 hrs. 36 min.,Unrated,N/A,no dist,Fathom,"$147,423",567,N/A,N/A,10/24,10/25
472,473,The Little Mermaid (2018),Conglomerate Media,"August 17, 2018",Adventure,1 hrs. 34 min.,PG,N/A,n/a,Conglomerate,"$147,175",82,"$85,505",82,8/17,8/25
473,474,TCM: Mr. Smith Goes to Washington,Fathom,"October 14, 2018",Drama,2 hrs. 9 min.,Unrated,N/A,no dist,Fathom,"$144,738",590,"$83,205",577,10/14,10/17
474,475,Best F(r)iends Volume Two,Fathom,"June 1, 2018",Comedy / Drama,2 hrs. 0 min.,R,N/A,no dist,Fathom,"$141,524",544,"$69,297",366,6/1,6/4
475,476,Harry Potter & the Order of the Phoenix (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 19 min.,PG-13,N/A,no dist,WB,"$132,522",N/A,N/A,N/A,9/2,-
476,477,Rudy (25th Anniversary),Fathom,"August 28, 2018",Sports Drama,1 hrs. 54 min.,PG,N/A,no dist,Fathom,"$131,200",656,"$85,349",656,8/28,9/2
477,478,Harry Potter & the Half-Blood Prince (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 33 min.,PG,N/A,no dist,WB,"$130,081",N/A,N/A,N/A,9/2,-
478,479,Met Summer Encore: Madama Butterfly,Fathom,"June 20, 2018",Unknown,2 hrs. 40 min.,Unrated,N/A,no dist,Fathom,"$129,730",355,N/A,N/A,6/20,6/20
479,480,Met Summer Encore: Eugene Onegin,Fathom,"July 11, 2018",Unknown,2 hrs. 51 min.,Unrated,N/A,no dist,Fathom,"$129,498",354,N/A,N/A,7/11,7/11
480,481,Met Opera: Il Trovatore (2018),Fathom,"June 27, 2018",Musical,N/A,Unrated,N/A,no dist,Fathom,"$129,393",351,N/A,N/A,6/27,6/27
481,482,Support the Girls,Magnolia,"August 24, 2018",Comedy,1 hrs. 30 min.,R,N/A,no dist,Magn.,"$129,124",35,"$51,167",33,8/24,10/18
482,483,Sleepless In Seattle 25th Anniversary,Fathom,"December 2, 2018",Romantic Comedy,1 hrs. 45 min.,PG-13,N/A,no dist,Fathom,"$127,281",419,"$73,560",419,12/2,12/6
483,484,Monster Family,Viva Pictures Distribution,"February 9, 2018",Animation,1 hrs. 36 min.,PG,N/A,"$26,314,633",VPD,"$127,259",15,$576,10,2/9,-
484,485,The Young Karl Marx,The Orchard,"February 23, 2018",Drama,1 hrs. 58 min.,Unrated,N/A,n/a,Orch.,"$125,659",15,"$26,097",3,2/23,5/17
485,486,Bel Canto,Screen Media,"September 14, 2018",Thriller,1 hrs. 42 min.,Unrated,N/A,no dist,Scre.,"$125,569",30,"$12,421",2,9/14,12/6
486,487,'85: The Greatest Team in Football History,Fathom,"January 29, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$124,573",221,N/A,N/A,1/29,2/7
487,488,Wings of Desire (2018 re-release),Janus Films,"October 19, 2018",Romance,2 hrs. 7 min.,Unrated,N/A,no dist,Jan.,"$123,830",4,"$12,885",1,10/19,1/10
488,489,Yu-Gi-Oh! The Movie (2018 re-release),Fathom,"March 11, 2018",Animation,1 hrs. 50 min.,PG,N/A,no dist,Fathom,"$121,688",576,"$68,833",556,3/11,3/12
489,490,Love After Love,IFC,"March 30, 2018",Drama,1 hrs. 31 min.,Unrated,N/A,no dist,IFC,"$121,098",29,"$11,290",1,3/30,5/17
490,491,Becoming Astrid,Music Box Films,"November 23, 2018",Historical Drama,2 hrs. 3 min.,Unrated,N/A,n/a,MBox,"$120,486",16,"$5,361",3,11/23,3/28
491,492,Five Seasons: The Gardens of Piet Oudolf,Argot Pictures,"June 13, 2018",Documentary,1 hrs. 15 min.,Unrated,N/A,no dist,Argo.,"$119,223",9,"$7,525",3,6/13,9/16
492,493,Till the End of the World,China Lion,"February 2, 2018",Adventure,1 hrs. 57 min.,Unrated,N/A,no dist,CL,"$118,660",27,"$57,713",27,2/2,2/22
493,494,The Great Buster: A Celebration,Cohen Media Group,"October 5, 2018",Documentary,1 hrs. 42 min.,Unrated,N/A,no dist,Cohen,"$118,344",14,"$7,107",2,10/5,12/23
494,495,Bisbee '17,4th Row Films,"September 5, 2018",Documentary,1 hrs. 52 min.,Unrated,N/A,no dist,4th Row,"$117,470",14,"$6,650",1,9/5,12/13
495,496,Ryuichi Sakamoto: Coda,MUBI,"July 6, 2018",Documentary,1 hrs. 42 min.,Unrated,N/A,n/a,MUBI,"$117,460",9,"$12,827",1,7/6,10/4
496,497,George Takei's Allegiance (2018),Fathom,"December 11, 2018",Musical,2 hrs. 10 min.,Unrated,N/A,no dist,Fathom,"$117,162",567,N/A,N/A,12/11,12/13
497,498,Gonjiam: Haunted Asylum,Well Go USA,"April 13, 2018",Horror,1 hrs. 33 min.,Unrated,N/A,n/a,WGUSA,"$115,252",7,"$19,017",2,4/13,5/17
498,499,Mantra: Sounds into Silence,Gathr Films,"April 20, 2018",Documentary,1 hrs. 25 min.,Unrated,N/A,no dist,Gathr,"$115,013",9,N/A,N/A,4/20,-
499,500,Nostalgia,Bleecker Street,"February 16, 2018",Drama,1 hrs. 54 min.,R,N/A,no dist,BST,"$114,603",140,"$15,955",3,2/16,3/8
500,501,Bodied,Neon,"November 2, 2018",Musical,2 hrs. 0 min.,R,N/A,no dist,Neon,"$113,956",17,"$53,000",14,11/2,11/18
501,502,HYMN - Sarah Brightman In Concert,Fathom,"November 8, 2018",Unknown,1 hrs. 50 min.,Unrated,N/A,no dist,Fathom,"$113,274",466,N/A,N/A,11/8,11/8
502,503,A Boy. A Girl. A Dream.,Samuel Goldwyn,"September 14, 2018",Romance,1 hrs. 29 min.,R,N/A,no dist,Gold.,"$112,552",61,"$67,760",61,9/14,9/23
503,504,Take Point,CJ Entertainment,"December 27, 2018",Action,1 hrs. 59 min.,Unrated,N/A,n/a,CJ,"$112,386",25,"$21,189",2,12/27,1/24
504,505,"Hale County This Morning, This Evening",Cinema Guild,"September 14, 2018",Documentary,1 hrs. 16 min.,Unrated,N/A,no dist,CGld,"$112,282",8,"$8,640",2,9/14,-
505,506,The Dawn Wall,The Orchard,"September 14, 2018",Documentary,1 hrs. 40 min.,Unrated,N/A,n/a,Orch.,"$112,191",4,"$21,615",2,9/14,10/4
506,507,A Chance in the World - Premiere,Fathom,"May 30, 2018",Drama,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$112,007",497,N/A,N/A,5/30,5/30
507,508,The Negotiation,CJ Entertainment,"September 21, 2018",Action / Crime,1 hrs. 54 min.,Unrated,N/A,n/a,CJ,"$110,986",13,"$14,273",2,9/21,10/18
508,509,Lu Over the Wall,GKIDS,"May 11, 2018",Animation,1 hrs. 52 min.,PG,N/A,no dist,GK,"$109,857",97,"$60,773",97,5/11,6/28
509,510,El Angel,The Orchard,"November 9, 2018",Crime Thriller,1 hrs. 55 min.,Unrated,N/A,no dist,Orch.,"$109,608",11,"$23,348",2,11/9,1/17
510,511,The Captain,Music Box Films,"July 27, 2018",War Drama,1 hrs. 58 min.,Unrated,N/A,n/a,MBox,"$109,226",10,"$7,568",1,7/27,11/29
511,512,Mary Shelley,IFC,"May 25, 2018",Drama,2 hrs. 0 min.,PG-13,N/A,n/a,IFC,"$108,900",30,"$12,570",2,5/25,7/8
512,513,In Between,Film Movement,"January 5, 2018",Drama,1 hrs. 36 min.,Unrated,N/A,n/a,FM,"$107,977",8,"$5,888",2,1/5,5/10
513,514,NT Live: Julius Caesar,Fathom,"March 22, 2018",Unknown,2 hrs. 15 min.,Unrated,N/A,no dist,Fathom,"$107,057",514,N/A,N/A,3/22,3/22
514,515,"Love, Cecil",Zeitgeist,"June 29, 2018",Documentary,1 hrs. 38 min.,Unrated,N/A,no dist,Zeit.,"$106,057",8,N/A,N/A,6/29,10/25
515,516,Airpocalypse,China Lion,"December 21, 2018",Action / Adventure,1 hrs. 45 min.,Unrated,N/A,no dist,CL,"$105,678",21,"$35,363",21,12/21,1/10
516,517,Never Heard,Fathom,"November 1, 2018",Drama,1 hrs. 29 min.,Unrated,N/A,no dist,Fathom,"$105,271",445,N/A,N/A,11/1,11/1
517,518,Sweet Country (2018),Samuel Goldwyn,"April 6, 2018",Adventure,1 hrs. 53 min.,R,N/A,no dist,Gold.,"$104,297",24,"$8,895",2,4/6,6/24
518,519,Namaste England,Eros,"October 19, 2018",Romantic Comedy,2 hrs. 21 min.,Unrated,N/A,n/a,Eros,"$104,079",71,"$67,612",71,10/19,11/4
519,520,Detective K: Secret of the Living Dead,Well Go USA,"February 16, 2018",Crime Comedy,2 hrs. 0 min.,Unrated,N/A,"$18,499,463",WGUSA,"$104,013",9,"$30,288",9,2/16,3/15
520,521,Memoir of War,Music Box Films,"August 17, 2018",Period Drama,2 hrs. 7 min.,Unrated,N/A,no dist,MBox,"$103,636",11,"$11,653",2,8/17,12/13
521,522,Happy Phirr Bhag Jayegi ,Eros,"August 24, 2018",Comedy,2 hrs. 16 min.,Unrated,N/A,n/a,Eros,"$103,385",71,"$72,376",44,8/24,-
522,523,Filmworker,Kino Lorber,"May 11, 2018",Documentary,1 hrs. 34 min.,Unrated,N/A,no dist,KL,"$102,609",17,"$7,984",1,5/11,-
523,524,Ismael's Ghosts,Magnolia,"March 23, 2018",Drama / Thriller,0 hrs. 35 min.,R,N/A,n/a,Magn.,"$102,510",17,"$19,158",2,3/23,5/24
524,525,Revenge (2018),Neon,"May 11, 2018",Thriller,1 hrs. 48 min.,R,N/A,n/a,Neon,"$102,091",37,"$45,924",37,5/11,5/31
525,526,Andrei Rublev (re-release),Janus Films,"August 24, 2018",Drama,3 hrs. 3 min.,Unrated,N/A,no dist,Jan.,"$102,021",4,"$12,807",2,8/24,11/29
526,527,Unstoppable (2018),Well Go USA,"November 30, 2018",Action / Crime,1 hrs. 55 min.,Unrated,N/A,n/a,WGUSA,"$101,417",22,"$42,133",22,11/30,12/20
527,528,All About Nina,The Orchard,"September 28, 2018",Comedy,1 hrs. 40 min.,R,N/A,no dist,Orch.,"$100,335",54,"$26,468",4,9/28,11/4
528,529,Meow Wolf: Origin Story,Fathom,"November 29, 2018",Documentary,1 hrs. 28 min.,Unrated,N/A,no dist,Fathom,"$99,488",461,N/A,N/A,11/29,-
529,530,NT Live: Macbeth,Fathom,"May 17, 2018",Unknown,3 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$97,857",502,N/A,N/A,5/17,5/17
530,531,Champion (2018),Well Go USA,"May 11, 2018",Sports Drama,1 hrs. 48 min.,Unrated,N/A,no dist,WGUSA,"$97,472",29,"$17,095",2,5/11,6/7
531,532,GODSPEED The Race Across America,Fathom,"May 22, 2018",Documentary,1 hrs. 53 min.,Unrated,N/A,no dist,Fathom,"$96,690",514,N/A,N/A,5/22,5/22
532,533,Golden Slumber,CJ Entertainment,"February 16, 2018",Action Thriller,1 hrs. 48 min.,Unrated,N/A,"$10,638,876",CJ,"$94,450",13,N/A,N/A,2/16,3/15
533,534,Let the Corpses Tan,Kino Lorber,"August 31, 2018",Thriller,1 hrs. 32 min.,Unrated,N/A,no dist,KL,"$93,409",13,"$11,918",3,8/31,12/13
534,535,Reign of Judges: Title of Liberty - Concept Short,"Darin Southam Endeavor, Inc.","March 15, 2018",Action,0 hrs. 14 min.,Unrated,N/A,"$5,184",Darin Southa,"$93,224",14,N/A,N/A,3/15,6/28
535,536,Bandstand: The Broadway Musical (2018),Fathom,"November 15, 2018",Unknown,2 hrs. 15 min.,Unrated,N/A,no dist,Fathom,"$91,000",361,N/A,N/A,11/15,-
536,537,Madame,Blue Fox Entertainment,"March 23, 2018",Comedy / Drama,1 hrs. 31 min.,Unrated,N/A,"$5,290,971",Blue Fox,"$90,979",N/A,N/A,N/A,3/23,-
537,538,John McEnroe: In the Realm of Perfection,Oscilloscope Pictures,"August 22, 2018",Documentary,1 hrs. 35 min.,Unrated,N/A,no dist,Osci.,"$90,964",22,"$7,878",1,8/22,10/18
538,539,Running for Grace,Blue Fox Entertainment,"July 20, 2018",Romance,1 hrs. 50 min.,Unrated,N/A,no dist,Blue Fox,"$89,988",13,"$30,597",3,7/20,9/20
539,540,NT Live: Cat on a Hot Tin Roof,Fathom,"February 22, 2018",Unknown,3 hrs. 5 min.,Unrated,N/A,no dist,Fathom,"$89,332",482,N/A,N/A,2/22,2/22
540,541,The Third Murder,Film Movement,"July 20, 2018",Thriller,2 hrs. 4 min.,Unrated,N/A,n/a,FM,"$89,315",10,"$10,670",2,7/20,11/29
541,542,Bolshoi Ballet: Swan Lake,Fathom,"July 23, 2018",Unknown,3 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$88,905",282,N/A,N/A,7/23,7/26
542,543,The House That Jack Built,IFC,"December 14, 2018",Drama / Thriller,2 hrs. 32 min.,R,N/A,n/a,IFC,"$87,993",32,"$34,273",32,12/14,1/24
543,544,Goldstone,Lightyear Entertainment,"March 2, 2018",Crime Thriller,1 hrs. 50 min.,R,N/A,no dist,Lightyear,"$87,639",19,"$1,300",1,3/2,-
544,545,The Price of Everything,HBO,"October 19, 2018",Documentary,1 hrs. 38 min.,Unrated,N/A,no dist,HBO,"$87,400",8,"$16,817",1,10/19,11/15
545,546,Lobster Cop,China Lion,"June 22, 2018",Comedy Thriller,1 hrs. 34 min.,Unrated,N/A,no dist,CL,"$85,693",12,"$35,015",12,6/22,7/19
546,547,Big Brother,Well Go USA,"August 31, 2018",Action Comedy,1 hrs. 41 min.,Unrated,N/A,no dist,WGUSA,"$85,624",25,"$41,225",25,8/31,9/20
547,548,How to Talk to Girls at Parties,A24,"May 25, 2018",Comedy / Drama,1 hrs. 42 min.,R,N/A,no dist,A24,"$84,809",103,"$12,674",2,5/25,6/14
548,549,Custody,Kino Lorber,"June 29, 2018",Drama,1 hrs. 33 min.,Unrated,N/A,n/a,KL,"$83,882",7,"$4,947",1,6/29,10/25
549,550,NT Live: Antony & Cleopatra,Fathom,"December 6, 2018",Unknown,3 hrs. 40 min.,Unrated,N/A,no dist,Fathom,"$83,672",470,N/A,N/A,12/6,12/6
550,551,Claire's Camera,Cinema Guild,"March 9, 2018",Comedy / Drama,1 hrs. 9 min.,Unrated,N/A,no dist,CGld,"$83,418",5,"$11,489",1,3/9,7/22
551,552,Blood Fest,Fathom,"August 14, 2018",Horror Comedy,1 hrs. 33 min.,Unrated,N/A,no dist,Fathom,"$82,774",485,N/A,N/A,8/14,8/14
552,553,Doctor Who: New Season Premiere,Fathom,"October 10, 2018",Sci-Fi,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$82,698",487,N/A,N/A,10/10,-
553,554,Godard Mon Amour,Cohen Media Group,"April 20, 2018",Comedy / Drama,1 hrs. 47 min.,R,N/A,n/a,Cohen,"$82,264",20,"$10,994",4,4/20,5/28
554,555,Yuri!!! on ICE Binge,Fathom,"October 13, 2018",Unknown,4 hrs. 20 min.,Unrated,N/A,no dist,Fathom,"$81,878",109,"$81,878",109,10/13,10/13
555,556,Nancy (2018),Samuel Goldwyn,"June 8, 2018",Drama / Thriller,1 hrs. 27 min.,Unrated,N/A,no dist,Gold.,"$80,115",11,"$15,056",3,6/8,7/15
556,557,En el Septimo Dia (On the Seventh Day),Cinema Guild,"June 8, 2018",Comedy / Drama,1 hrs. 32 min.,Unrated,N/A,no dist,CGld,"$79,887",9,"$12,793",2,6/8,10/11
557,558,Have a Nice Day,Strand,"January 26, 2018",Animation,1 hrs. 17 min.,Unrated,N/A,no dist,Strand,"$79,393",15,"$10,463",1,1/26,4/19
558,559,The Princess and the Matchmaker,CJ Entertainment,"March 9, 2018",Romantic Comedy,1 hrs. 50 min.,Unrated,N/A,no dist,CJ,"$78,900",6,"$20,142",3,3/9,3/29
559,560,The Boxcar Children: Surprise Island,Fathom,"May 8, 2018",Animation,1 hrs. 21 min.,Unrated,N/A,no dist,Fathom,"$78,676",699,N/A,N/A,5/8,5/8
560,561,Just a Breath Away,Entertainment One,"August 10, 2018",Sci-Fi,1 hrs. 29 min.,Unrated,N/A,n/a,EOne,"$77,987",12,"$16,046",12,8/10,1/28
561,562,Shock & Awe,Vertical Entertainment,"July 13, 2018",Drama,1 hrs. 31 min.,R,N/A,no dist,VE,"$77,980",100,"$45,856",100,7/13,7/23
562,563,93Queen,Abramorama,"July 25, 2018",Documentary,1 hrs. 21 min.,Unrated,N/A,no dist,Abr.,"$76,056",3,"$6,302",1,7/25,10/11
563,564,Mukkabaaz,Eros,"January 12, 2018",Sports Action,2 hrs. 34 min.,Unrated,N/A,n/a,Eros,"$75,929",19,"$47,808",19,1/12,1/25
564,565,The Riot Act,Hannover House,"September 14, 2018",Thriller,1 hrs. 31 min.,PG-13,N/A,no dist,Hann.,"$75,506",10,"$28,840",9,9/14,10/21
565,566,Keys to the Heart,CJ Entertainment,"January 26, 2018",Comedy / Drama,2 hrs. 0 min.,Unrated,N/A,n/a,CJ,"$75,134",2,"$9,851",2,1/26,3/8
566,567,Tehran Taboo,Kino Lorber,"February 14, 2018",Animation,1 hrs. 36 min.,Unrated,N/A,n/a,KL,"$74,758",9,"$4,962",1,2/14,5/17
567,568,Above and Beyond: NASA's Journey to Tomorrow,Fathom,"September 29, 2018",Unknown,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$74,711",404,"$35,490",350,9/29,10/3
568,569,After Auschwitz,Passion River,"April 14, 2018",Documentary,1 hrs. 23 min.,Unrated,N/A,no dist,Passion Rive,"$73,885",13,N/A,N/A,4/14,5/31
569,570,Bye Bye Germany,Film Movement,"April 13, 2018",Comedy,1 hrs. 42 min.,Unrated,N/A,no dist,FM,"$73,730",6,"$4,874",2,4/13,12/6
570,571,The Last Suit,Outsider Films,"March 23, 2018",Drama,1 hrs. 32 min.,Unrated,N/A,n/a,OutF,"$73,548",6,"$27,549",6,3/23,4/8
571,572,"Nico, 1988",Magnolia,"August 1, 2018",Drama,1 hrs. 33 min.,R,N/A,n/a,Magn.,"$73,304",12,"$12,309",2,8/1,10/7
572,573,Helicopter Eela,Eros,"October 12, 2018",Drama,2 hrs. 15 min.,Unrated,N/A,n/a,Eros,"$71,971",70,"$51,115",70,10/12,11/4
573,574,Namiya,China Lion,"January 5, 2018",Drama,1 hrs. 56 min.,Unrated,N/A,"$35,271,736",CL,"$70,814",21,"$39,584",21,1/5,1/18
574,575,The Fog (2018 re-release),Rialto,"October 26, 2018",Horror,1 hrs. 29 min.,Unrated,N/A,no dist,Rialto,"$70,421",43,"$39,565",43,10/26,12/6
575,576,Wastelander,Indican,"January 12, 2018",Action,1 hrs. 30 min.,Unrated,N/A,no dist,Indic.,"$70,045",22,"$20,768",22,1/12,7/26
576,577,Parchi,Atlas Distribution,"January 12, 2018",Action Comedy,2 hrs. 17 min.,Unrated,N/A,no dist,ADC,"$69,431",39,"$34,437",39,1/12,2/8
577,578,Outside In,The Orchard,"March 30, 2018",Drama,1 hrs. 49 min.,Unrated,N/A,no dist,Orch.,"$68,492",16,"$14,136",9,3/30,5/27
578,579,Chef Flynn,Kino Lorber,"November 9, 2018",Documentary,1 hrs. 22 min.,Unrated,N/A,no dist,KL,"$68,407",10,"$7,509",1,11/9,2/7
579,580,Where Hands Touch,Vertical Entertainment,"September 14, 2018",Drama,2 hrs. 1 min.,PG-13,N/A,no dist,VE,"$67,743",103,"$67,743",103,9/14,-
580,581,Under the Tree,Magnolia,"July 6, 2018",Comedy,1 hrs. 29 min.,Unrated,N/A,n/a,Magn.,"$67,596",9,"$13,617",3,7/6,9/6
581,582,Making the Five Heartbeats,Fathom,"August 27, 2018",Documentary,1 hrs. 25 min.,PG-13,N/A,no dist,Fathom,"$67,415",437,N/A,N/A,8/27,8/27
582,583,The Doctor from India,Zeitgeist,"April 20, 2018",Documentary,1 hrs. 29 min.,Unrated,N/A,no dist,Zeit.,"$67,136",5,"$2,442",1,4/20,9/27
583,584,3100: Run and Become,Illumine Films,"August 17, 2018",Documentary,1 hrs. 19 min.,Unrated,N/A,no dist,Illumine,"$65,524",7,N/A,N/A,8/17,11/15
584,585,Beuys,Kino Lorber,"January 17, 2018",Documentary,1 hrs. 47 min.,Unrated,N/A,no dist,KL,"$65,410",6,"$9,084",2,1/17,5/31
585,586,Feng Shui (Myung Dang),CJ Entertainment,"September 21, 2018",Drama,2 hrs. 13 min.,Unrated,N/A,no dist,CJ,"$64,147",14,"$9,644",2,9/21,11/15
586,587,"Monrovia, Indiana",Zipporah Films,"October 26, 2018",Documentary,2 hrs. 21 min.,Unrated,N/A,no dist,Zipp.,"$63,944",14,"$5,172",1,10/26,1/31
587,588,Liz and the Blue Bird,Eleven Arts,"November 2, 2018",Animation,1 hrs. 30 min.,Unrated,N/A,no dist,Elev.,"$63,204",79,N/A,N/A,11/2,12/6
588,589,The Gardener,Gravitas Ventures,"March 30, 2018",Documentary,1 hrs. 24 min.,Unrated,N/A,no dist,Grav.,"$62,734",2,"$6,298",1,3/30,-
589,590,Never Goin' Back,A24,"August 3, 2018",Comedy,1 hrs. 26 min.,R,N/A,no dist,A24,"$61,271",27,"$10,322",2,8/3,8/27
590,591,Viper Club,Roadside Attractions,"October 26, 2018",Drama,1 hrs. 49 min.,R,N/A,no dist,RAtt.,"$60,607",70,"$14,180",3,10/26,11/15
591,592,Where is Kyra?,Great Point,"April 6, 2018",Drama,1 hrs. 38 min.,R,N/A,no dist,Great Point,"$59,717",33,"$7,000",1,4/6,5/3
592,593,Bomb City,Gravitas Ventures,"February 9, 2018",Action / Crime,1 hrs. 35 min.,Unrated,N/A,no dist,Grav.,"$59,329",17,"$31,005",17,2/9,4/8
593,594,Digimon Adventure Tri. 4: Loss,Fathom,"February 1, 2018",Animation,1 hrs. 22 min.,Unrated,N/A,no dist,Fathom,"$59,114",410,N/A,N/A,2/1,2/1
594,595,"Westwood: Punk, Icon, Activist",Greenwich,"June 8, 2018",Documentary,1 hrs. 23 min.,Unrated,N/A,no dist,Greenwich,"$58,979",8,"$4,450",1,6/8,7/29
595,596,Horn From the Heart,Abramorama,"October 17, 2018",Documentary,1 hrs. 44 min.,Unrated,N/A,no dist,Abr.,"$58,597",2,"$3,086",1,10/17,1/24
596,597,A Kid Like Jake,IFC,"June 1, 2018",Drama,1 hrs. 32 min.,R,N/A,no dist,IFC,"$58,403",13,"$8,936",1,6/1,7/8
597,598,Cynthia,Indican,"August 31, 2018",Horror Comedy,1 hrs. 29 min.,Unrated,N/A,no dist,Indic.,"$58,177",21,"$30,660",21,8/31,10/18
598,599,In Search of Greatness,Art of Sport,"November 2, 2018",Documentary,1 hrs. 20 min.,PG-13,N/A,no dist,Art of Sport,"$58,090",16,"$32,952",16,11/2,11/14
599,600,Woman Walks Ahead,A24,"June 29, 2018",Western,1 hrs. 42 min.,R,N/A,no dist,A24,"$57,528",6,"$6,863",2,6/29,8/9
600,601,Black '47,IFC,"September 28, 2018",Action Drama,1 hrs. 40 min.,R,N/A,no dist,IFC,"$57,520",100,"$8,600",1,9/28,11/15
601,602,Bhavesh Joshi Superhero,Eros,"June 1, 2018",Action Drama,2 hrs. 34 min.,Unrated,N/A,no dist,Eros,"$57,376",46,"$42,579",46,6/1,-
602,603,Ramen Heads,FilmBuff,"March 16, 2018",Documentary,1 hrs. 33 min.,Unrated,N/A,no dist,FB,"$57,345",6,"$7,085",2,3/16,4/26
603,604,Django,Under the Milky Way,"January 5, 2018",Drama,1 hrs. 57 min.,Unrated,N/A,no dist,UTMW,"$56,556",7,"$11,722",4,1/5,2/22
604,605,American Dream: Detroit,Fathom,"May 15, 2018",Documentary,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$55,092",421,N/A,N/A,5/15,5/15
605,606,Canelo vs Rocky,Fathom,"December 15, 2018",Unknown,4 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$54,916",368,N/A,368,12/15,12/15
